code,name,market,market_cap,shares,avg_trdval_60d,listed_days
453450,그리드위즈,KOSDAQ,129943390000,7942750,6021253596,133
003100,선광,KOSDAQ,129822000000,6600000,988988000,133
089470,HDC현대EP,KOSPI,129514000000,31900000,572644095,133
136540,윈스테크넷,KOSDAQ,129428522840,12279746,1409162503,133
079430,현대리바트,KOSPI,129133176840,20114202,2147955545,133
009270,신원,KOSPI,129116692125,114770393,709512448,133
032940,원익,KOSDAQ,128080339200,18193230,1692047363,133
357580,아모센스,KOSDAQ,127918917700,11789762,10008342843,133
290740,액트로,KOSDAQ,127825639700,10065011,4123827038,133
095190,신화프리텍,KOSDAQ,127714724134,65260462,688589945,133
205100,엑셈,KOSDAQ,127447620669,70686423,1100319154,133
002230,피에스텍,KOSDAQ,127196176000,18705320,2819905962,133
068790,DMS,KOSDAQ,127070361120,22570224,1576743016,133
011280,태림포장,KOSPI,127025856360,70805940,2935814946,133
212560,네오오토,KOSDAQ,126863468340,11812241,2483675222,133
122450,KX,KOSDAQ,126616031050,44819834,372520536,133
008040,사조동아원,KOSPI,126324417000,141144600,911526922,133
036630,세종텔레콤,KOSDAQ,126000000000,10000000,556834962,133
002780,진흥기업,KOSPI,125978531170,145471745,10321260909,133
014280,금강공업,KOSPI,125969588315,29329357,1421429815,133
053700,삼보모터스,KOSDAQ,125437776240,25443768,2453724252,133
007540,샘표,KOSPI,125097300000,2875800,481228686,133
323350,다원넥스뷰,KOSDAQ,124887935480,8010772,5242416148,133
037070,파세코,KOSDAQ,124600000000,20000000,1029583728,133
323990,박셀바이오,KOSDAQ,124426795750,23257345,902385036,133
015590,DKME,KOSPI,124413397640,53396308,872116235,133
306620,지아이에스,KOSDAQ,124409967480,47942184,6453686470,133
020120,키다리스튜디오,KOSPI,124163616100,37063766,726511112,133
067990,도이치모터스,KOSDAQ,124021587500,29181550,1106644987,133
006660,삼성공조,KOSPI,124007551640,8126314,10804041609,133
051160,지어소프트,KOSDAQ,123795440000,15474430,583593357,133
004960,한신공영,KOSPI,123575097360,11570702,3191887592,133
012800,대창,KOSPI,122766252153,91140499,4974676459,133
088130,동아엘텍,KOSDAQ,122746904280,17485314,8612343111,133
013520,화승코퍼레이션,KOSPI,122375311140,50051252,625601921,133
090850,현대이지웰,KOSDAQ,122279792320,22477903,472373910,133
215100,로보로보,KOSDAQ,122090724000,20348454,4429986465,133
093640,케이알엠,KOSDAQ,122042790810,32675446,1043358106,133
040300,YTN,KOSDAQ,121814683900,47676980,1829023468,133
007610,선도전기,KOSPI,121500000000,18000000,27799997922,133
33626K,두산퓨얼셀1우,KOSPI,121346936000,13364200,861695340,133
027710,팜스토리,KOSDAQ,121109844200,111416600,3480398821,133
333430,일승,KOSDAQ,121063383180,30726747,2696794971,133
123040,엠에스오토텍,KOSDAQ,120684732173,62628299,713204572,133
365330,에스와이스틸텍,KOSDAQ,120159545000,50171000,3213957536,133
078890,가온그룹,KOSDAQ,120130628360,18424943,8119050916,133
040350,크레오에스지,KOSDAQ,120051271800,19520532,710028499,133
010100,한국무브넥스,KOSPI,119974654800,30450420,2841431958,133
107600,새빗켐,KOSDAQ,119588224800,5640954,1685527162,133
382840,원준,KOSDAQ,119576479230,15271581,3962669458,133
006620,동구바이오제약,KOSDAQ,119552966400,28464992,1224522744,133
412350,레이저쎌,KOSDAQ,119379782140,14435282,17462015172,133
235980,메드팩토,KOSDAQ,118763294265,34275121,1899750102,133
366030,공구우먼,KOSDAQ,118706174000,22653850,1124662095,133
331740,아우토크립트,KOSDAQ,118458745650,9749691,3045347079,133
012320,경동인베스트,KOSPI,118251150000,2365023,1991190258,133
156100,엘앤케이바이오,KOSDAQ,118014087840,22351153,1663785523,133
338220,뷰노,KOSDAQ,117895349660,14001823,1367808992,133
002450,삼익악기,KOSPI,117509127670,90530915,339682261,133
014530,극동유화,KOSPI,117161251200,34869420,5794401247,133
009580,무림P&P,KOSPI,117065344148,62368324,8494306237,133
013310,아진산업,KOSDAQ,116613778910,38806582,4997236103,133
310200,애니플러스,KOSDAQ,116323124280,52162836,742182994,133
071280,로체시스템즈,KOSDAQ,116254182800,15296603,1007431080,133
330730,스톤브릿지벤처스,KOSDAQ,116229755400,18217830,907406960,133
388790,라이콤,KOSDAQ,115721524800,30614160,11403496699,133
054540,삼영엠텍,KOSDAQ,115700000000,13000000,5926135865,133
389030,지니너스,KOSDAQ,115376308575,33588445,4595486129,133
115440,우리넷,KOSDAQ,115283038560,10794292,37568984051,133
063570,NICE인프라,KOSDAQ,115248582000,34147728,360778080,133
339950,아이비김영,KOSDAQ,115063436800,44946655,551851190,133
172670,에이엘티,KOSDAQ,114512110020,8960259,3210659899,133
014580,태경비케이,KOSPI,113918203000,27583100,1226190630,133
086960,MDS테크,KOSDAQ,113577816520,41076968,7999222264,133
049520,유아이엘,KOSDAQ,113500860000,30842625,581010911,133
054050,NH농우바이오,KOSDAQ,113496371880,16030561,547003438,133
041520,이엘씨,KOSDAQ,113477076300,12188730,503557708,133
052260,현대바이오랜드,KOSDAQ,113100000000,30000000,312493090,133
053260,금강철강,KOSDAQ,113068800000,18720000,6982282590,133
073560,우리손에프앤지,KOSDAQ,112788120447,69237643,367702606,133
047770,코데즈컴바인,KOSDAQ,112770953960,37842602,5877501609,133
084670,동양고속,KOSPI,112637634100,2895569,14690724942,133
052900,KX하이텍,KOSDAQ,112559595840,69481232,5495255208,133
250060,모비스,KOSDAQ,112277885860,32171314,5243695029,133
129920,대성하이텍,KOSDAQ,112116002400,16248696,5880796629,133
475580,에이럭스,KOSDAQ,111860429000,13624900,13388607658,133
067900,와이엔텍,KOSDAQ,111745906260,18199659,479885519,133
227840,현대코퍼레이션홀딩스,KOSPI,111394232640,9100836,361653847,133
234030,싸이닉솔루션,KOSDAQ,111297575000,23605000,1430601966,133
214680,디알텍,KOSDAQ,111107961536,83477056,706017596,133
223250,드림씨아이에스,KOSDAQ,110825000220,24600444,7259312381,133
255440,야스,KOSDAQ,110731840000,13058000,786439039,133
004250,NPC,KOSPI,110343600000,36720000,350684620,133
417500,제이아이테크,KOSDAQ,109828892400,32784744,5265573964,133
083420,그린케미칼,KOSPI,109800000000,24000000,964274092,133
309960,LB인베스트먼트,KOSDAQ,109701454275,23217239,894701896,133
141000,비아트론,KOSDAQ,109638125500,12114710,1443632646,133
123690,한국화장품,KOSPI,109583760000,16068000,1745163316,133
109610,에스와이,KOSDAQ,109552576000,48907400,887022606,133
049950,미래컴퍼니,KOSDAQ,108989046240,8817884,1069130670,133
396470,워트,KOSDAQ,108971200000,16120000,3203630078,133
322510,제이엘케이,KOSDAQ,108949152620,25725892,3300174064,133
267850,아시아나IDT,KOSPI,108780000000,11100000,974688287,133
217820,원익피앤이,KOSDAQ,108433667315,47454559,1218361392,133
317770,엑스페릭스,KOSDAQ,108182605925,36486545,2434445552,133
005860,한일사료,KOSDAQ,107572060050,39403685,21632649123,133
131030,옵투스제약,KOSDAQ,107467733100,17646590,6989980433,133
042510,라온시큐어,KOSDAQ,107282298480,11105828,8787878960,133
085670,뉴프렉스,KOSDAQ,107068325570,24500761,2971053026,133
007210,벽산,KOSPI,106602160000,65360000,1060484696,133
021320,KCC건설,KOSDAQ,106358000000,21400000,633096241,133
065450,빅텍,KOSDAQ,106332369815,29495803,20940996986,133
052860,아이앤씨,KOSDAQ,106283981300,17862854,983646100,133
456070,이엔셀,KOSDAQ,105985970370,11028717,1781650898,133
248170,샘표식품,KOSPI,105755820900,4568286,385037667,133
389140,포바이포,KOSDAQ,105025249600,14269735,4092739874,133
092040,아미코젠,KOSDAQ,104923249695,70655387,2003273380,133
104460,디와이피엔에프,KOSDAQ,104655104950,10518101,623050291,133
212710,아이에스티이,KOSDAQ,104505541080,9622978,2474623412,133
149980,하이로닉,KOSDAQ,104488209590,21194363,726154606,133
225190,LK삼양,KOSDAQ,104293291200,70468440,4952219259,133
014790,HL D&I,KOSPI,104111152750,37858601,459334433,133
059270,해성에어로보틱스,KOSDAQ,104060586680,11165299,3581060007,133
182360,큐브엔터,KOSDAQ,104028489810,15549849,357098185,133
035080,그래디언트,KOSDAQ,104024684400,11431284,1146549185,133
001290,상상인증권,KOSPI,103786960960,108337120,4613309729,133
045970,코아시아,KOSDAQ,103417462680,26314876,1150316686,133
004100,태양금속,KOSPI,102943500000,36700000,2582712699,133
025950,동신건설,KOSDAQ,102900000000,8400000,1753604671,133
360070,탑머티리얼,KOSDAQ,102759939650,8188043,875329822,133
008700,아남전자,KOSPI,102576010600,77124820,4119132728,133
282720,금양그린파워,KOSDAQ,102530970000,12119500,14113181770,133
066430,아이로보틱스,KOSDAQ,101994804980,39153476,14086837867,133
038110,에코플라스틱,KOSDAQ,101688343900,41169370,37784220600,133
039980,폴라리스AI,KOSDAQ,101387558700,14381214,20008441547,133
029480,광무,KOSDAQ,101343367004,59719132,758902894,133
489460,바이오비쥬,KOSDAQ,101249013900,15044430,542196102,133
013570,디와이,KOSPI,101198988885,26319633,583762636,133
055490,테이팩스,KOSPI,101116580000,4769650,1254337408,133
413630,씨피시스템,KOSDAQ,101111637150,36436626,2135234001,133
023900,풍국주정,KOSDAQ,100422000000,12600000,4614519888,133
044990,에이치엔에스하이텍,KOSDAQ,100371650500,7685425,1401978808,133
096250,와이즈넛,KOSDAQ,100124828160,13105344,1092819128,133
